Rank,Game,Month,Year,Hours_watched,Hours_streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,Date
1,League of Legends,January,2016,94377226,1362044,530270,2903,129172,127021,1833,69.29000092,January 2016
2,Counter-Strike: Global Offensive,January,2016,47832863,830105,372654,2197,120849,64378,1117,57.61999893,January 2016
3,Dota 2,January,2016,45185893,433397,315083,1100,44074,60815,583,104.2600021,January 2016
4,Hearthstone,January,2016,39936159,235903,131357,517,36170,53749,317,169.2899933,January 2016
5,Call of Duty: Black Ops III,January,2016,16153057,1151578,71639,3620,214054,21740,1549,14.02999973,January 2016
6,Minecraft,January,2016,10231056,490002,64432,1538,88820,13769,659,20.87999916,January 2016
7,World of Warcraft,January,2016,8771452,342978,46130,1180,33375,11805,461,25.56999969,January 2016
8,Z1: Battle Royale,January,2016,7894571,205569,41588,460,21396,10625,276,38.40000153,January 2016
9,Talk Shows & Podcasts,January,2016,7688369,53235,84051,148,10779,10347,71,144.4199982,January 2016
10,FIFA 16,January,2016,6988475,203646,145728,756,46462,9405,274,34.31999969,January 2016
1,League of Legends,February,2016,93154772,1266715,475784,2712,117996,134035,1822,73.54000092,February 2016
2,Counter-Strike: Global Offensive,February,2016,44933218,754901,235027,2097,106074,64652,1086,59.52000046,February 2016
3,Dota 2,February,2016,41174229,384500,241065,1015,36912,59243,553,107.0899963,February 2016
4,Hearthstone,February,2016,39982412,200632,117067,498,29785,57528,288,199.2799988,February 2016
5,Call of Duty: Black Ops III,February,2016,18200850,1392300,95397,4443,225521,26188,2003,13.06999969,February 2016
6,Minecraft,February,2016,8965231,440549,68098,1441,77621,12899,633,20.35000038,February 2016
7,Talk Shows & Podcasts,February,2016,7582957,54181,106073,154,10865,10910,77,139.9600067,February 2016
8,Z1: Battle Royale,February,2016,7135033,190551,48867,442,19414,10266,274,37.43999863,February 2016
9,XCOM 2,February,2016,6399599,101051,76838,782,9604,9208,145,63.33000183,February 2016
10,World of Warcraft,February,2016,6330745,289330,29872,1179,28060,9108,416,21.87999916,February 2016
1,League of Legends,March,2016,94514511,1264029,599114,2585,117734,127206,1701,74.76999664,March 2016
2,Counter-Strike: Global Offensive,March,2016,71963213,742531,784934,1940,104144,96854,999,96.91999817,March 2016
3,Dota 2,March,2016,42565423,363215,339020,952,34612,57288,488,117.1900024,March 2016
4,Hearthstone,March,2016,39270352,208497,250667,464,29672,52853,280,188.3500061,March 2016
5,Tom Clancy's The Division,March,2016,19700030,1008790,159832,5280,158048,26514,1357,19.53000069,March 2016
6,Call of Duty: Black Ops III,March,2016,14304986,1237908,118602,3819,209865,19253,1666,11.56000042,March 2016
7,Minecraft,March,2016,10030905,448411,90527,1438,78524,13500,603,22.37000084,March 2016
8,Talk Shows & Podcasts,March,2016,7691155,58526,106016,165,11144,10351,78,131.4100037,March 2016
9,World of Warcraft,March,2016,6873120,295301,45853,1078,28167,9250,397,23.27000046,March 2016
10,Stardew Valley,March,2016,5925311,137735,50884,375,15288,7974,185,43.02000046,March 2016
1,League of Legends,April,2016,88389049,1217250,553165,2945,113251,122933,1692,72.61000061,April 2016
2,Counter-Strike: Global Offensive,April,2016,71723213,721644,1059002,2119,97614,99754,1003,99.38999939,April 2016
3,Dota 2,April,2016,42691310,319832,341103,815,30056,59375,444,133.4799957,April 2016
4,Hearthstone,April,2016,41457117,229985,280643,1220,33921,57659,319,180.2599945,April 2016
5,Dark Souls III,April,2016,17979317,749702,103991,3238,94233,25006,1042,23.97999954,April 2016
6,Call of Duty: Black Ops III,April,2016,14608621,1188774,157156,3583,194704,20317,1653,12.28999996,April 2016
7,World of Warcraft,April,2016,7675362,283609,55342,1011,27131,10675,394,27.05999947,April 2016
8,Minecraft,April,2016,7605339,416176,61290,1398,72014,10577,578,18.27000046,April 2016
9,Tom Clancy's The Division,April,2016,7062036,542007,37151,1651,72495,9822,753,13.02999973,April 2016
10,Talk Shows & Podcasts,April,2016,6623058,54802,54860,181,11123,9211,76,120.8499985,April 2016
1,League of Legends,May,2016,80679320,1196096,433005,2635,118593,108585,1609,67.44999695,May 2016
2,Hearthstone,May,2016,49474945,232247,154779,615,36024,66588,312,213.0299988,May 2016
3,Dota 2,May,2016,46816065,310231,321688,778,31165,63009,417,150.9100037,May 2016
4,Counter-Strike: Global Offensive,May,2016,44882927,663528,347527,1856,101483,60407,893,67.63999939,May 2016
5,Overwatch,May,2016,22098050,834402,302141,9741,140615,29741,1123,26.47999954,May 2016
6,Call of Duty: Black Ops III,May,2016,11921661,1027566,75069,2986,187445,16045,1382,11.60000038,May 2016
7,World of Warcraft,May,2016,8532283,277450,57379,1008,29295,11483,373,30.75,May 2016
8,Dark Souls III,May,2016,7436193,393112,35278,1576,60299,10008,529,18.92000008,May 2016
9,Minecraft,May,2016,6848639,407008,41069,1215,77629,9217,547,16.82999992,May 2016
10,RuneScape,May,2016,5948742,83171,48463,183,8633,8006,111,71.51999664,May 2016
1,League of Legends,June,2016,81348505,1037242,346059,2131,102620,113141,1442,78.43000031,June 2016
2,Dota 2,June,2016,56363873,272972,483285,675,27730,78392,379,206.4799957,June 2016
3,Counter-Strike: Global Offensive,June,2016,36137071,576786,226858,1615,86923,50260,802,62.65000153,June 2016
4,Hearthstone,June,2016,35460014,185031,139821,452,26446,49318,257,191.6399994,June 2016
5,Overwatch,June,2016,30041625,1141859,105075,3428,152548,41782,1588,26.30999947,June 2016
6,E3 2016,June,2016,13564832,16151,891816,980,2537,18866,22,839.8800049,June 2016
7,Dead by Daylight,June,2016,13469660,118198,79013,548,15205,18733,164,113.9599991,June 2016
8,Call of Duty: Black Ops III,June,2016,11470501,870831,110659,2445,152477,15953,1211,13.17000008,June 2016
9,World of Warcraft,June,2016,7683385,285629,43534,928,29549,10686,397,26.89999962,June 2016
10,Minecraft,June,2016,7333796,440946,54277,1208,83314,10199,613,16.62999916,June 2016
1,League of Legends,July,2016,77871713,1004238,296196,2089,105041,104807,1351,77.54000092,July 2016
2,Counter-Strike: Global Offensive,July,2016,52953297,596141,726674,1441,94538,71269,802,88.83000183,July 2016
3,Dota 2,July,2016,32509829,277739,200212,807,29653,43754,373,117.0500031,July 2016
4,Hearthstone,July,2016,31656051,164588,148537,372,24532,42605,221,192.3399963,July 2016
5,Overwatch,July,2016,24928646,813972,82786,2220,126978,33551,1095,30.62999916,July 2016
6,Call of Duty: Black Ops III,July,2016,11777817,997130,77658,4122,188845,15851,1342,11.81000042,July 2016
7,Dead by Daylight,July,2016,10180914,136616,64718,323,14656,13702,183,74.51999664,July 2016
8,World of Warcraft,July,2016,9957230,304908,73797,870,32835,13401,410,32.65999985,July 2016
9,Minecraft,July,2016,7577550,444318,47731,1056,90671,10198,598,17.04999924,July 2016
10,Pok<U+00E9>mon GO,July,2016,7495080,51037,81781,199,8607,10087,68,146.8600006,July 2016
1,League of Legends,August,2016,81684707,1097258,502181,2177,105795,109939,1476,74.44000244,August 2016
2,Dota 2,August,2016,52492132,289605,623824,796,29645,70648,389,181.25,August 2016
3,Hearthstone,August,2016,35713094,172547,108194,414,24739,48066,232,206.9799957,August 2016
4,Counter-Strike: Global Offensive,August,2016,26252677,642691,152628,1595,91934,35333,864,40.84999847,August 2016
5,World of Warcraft,August,2016,20187726,478771,227428,4567,47423,27170,644,42.16999817,August 2016
6,Overwatch,August,2016,18643208,678192,92808,1740,109939,25091,912,27.48999977,August 2016
7,No Man's Sky,August,2016,10901214,410662,218360,4689,69859,14671,552,26.54999924,August 2016
8,Call of Duty: Black Ops III,August,2016,8721779,896236,129778,2100,159672,11738,1206,9.729999542,August 2016
9,Dead by Daylight,August,2016,8124026,147501,54616,473,14161,10934,198,55.08000183,August 2016
